date,value,indicator
1992-02-01,5.5,CPI_YoY
1992-03-01,5.3,CPI_YoY
1992-04-01,5.3,CPI_YoY
1992-05-01,7.1,CPI_YoY
1992-06-01,4.7,CPI_YoY
1992-07-01,4.8,CPI_YoY
1992-08-01,5.2,CPI_YoY
1992-09-01,5.8,CPI_YoY
1992-10-01,7.5,CPI_YoY
1992-11-01,7.9,CPI_YoY
1992-12-01,8.2,CPI_YoY
1993-01-01,8.8,CPI_YoY
1993-02-01,10.3,CPI_YoY
1993-03-01,10.8,CPI_YoY
1993-04-01,12.2,CPI_YoY
1993-05-01,12.6,CPI_YoY
1993-06-01,14.0,CPI_YoY
1993-07-01,15.1,CPI_YoY
1993-08-01,16.2,CPI_YoY
1993-09-01,16.4,CPI_YoY
1993-10-01,15.7,CPI_YoY
1993-11-01,15.9,CPI_YoY
1993-12-01,16.7,CPI_YoY
1994-01-01,18.8,CPI_YoY
1994-02-01,21.1,CPI_YoY
1994-03-01,23.2,CPI_YoY
1994-04-01,22.4,CPI_YoY
1994-05-01,21.7,CPI_YoY
1994-06-01,21.3,CPI_YoY
1994-07-01,22.6,CPI_YoY
1994-08-01,24.0,CPI_YoY
1994-09-01,25.8,CPI_YoY
1994-10-01,27.3,CPI_YoY
1994-11-01,27.7,CPI_YoY
1994-12-01,27.5,CPI_YoY
1995-01-01,25.5,CPI_YoY
1995-02-01,24.1,CPI_YoY
1995-03-01,22.4,CPI_YoY
1995-04-01,21.3,CPI_YoY
1995-05-01,20.7,CPI_YoY
1995-06-01,20.3,CPI_YoY
1995-07-01,18.2,CPI_YoY
1995-08-01,16.7,CPI_YoY
1995-09-01,14.5,CPI_YoY
1995-10-01,13.2,CPI_YoY
1995-11-01,12.1,CPI_YoY
1995-12-01,11.2,CPI_YoY
1996-01-01,10.1,CPI_YoY
1996-02-01,9.0,CPI_YoY
1996-03-01,9.3,CPI_YoY
1996-04-01,9.8,CPI_YoY
1996-05-01,9.7,CPI_YoY
1996-06-01,8.9,CPI_YoY
1996-07-01,8.6,CPI_YoY
1996-08-01,8.3,CPI_YoY
1996-09-01,8.1,CPI_YoY
1996-10-01,7.4,CPI_YoY
1996-11-01,7.0,CPI_YoY
1996-12-01,6.9,CPI_YoY
1997-01-01,7.0,CPI_YoY
1997-02-01,5.9,CPI_YoY
1997-03-01,5.6,CPI_YoY
1997-04-01,4.0,CPI_YoY
1997-05-01,3.2,CPI_YoY
1997-06-01,2.8,CPI_YoY
1997-07-01,2.8,CPI_YoY
1997-08-01,2.7,CPI_YoY
1997-09-01,1.9,CPI_YoY
1997-10-01,1.8,CPI_YoY
1997-11-01,1.5,CPI_YoY
1997-12-01,1.1,CPI_YoY
1998-01-01,0.4,CPI_YoY
1998-02-01,0.3,CPI_YoY
1998-03-01,-0.1,CPI_YoY
1998-04-01,0.7,CPI_YoY
1998-05-01,-0.3,CPI_YoY
1998-06-01,-1.0,CPI_YoY
1998-07-01,-1.3,CPI_YoY
1998-08-01,-1.4,CPI_YoY
1998-09-01,-1.4,CPI_YoY
1998-10-01,-1.5,CPI_YoY
1998-11-01,-1.1,CPI_YoY
1998-12-01,-1.2,CPI_YoY
1999-01-01,-1.0,CPI_YoY
1999-02-01,-1.2,CPI_YoY
1999-03-01,-1.3,CPI_YoY
1999-04-01,-1.8,CPI_YoY
1999-05-01,-2.2,CPI_YoY
1999-06-01,-2.2,CPI_YoY
1999-07-01,-2.1,CPI_YoY
1999-08-01,-1.4,CPI_YoY
1999-09-01,-1.3,CPI_YoY
1999-10-01,-0.8,CPI_YoY
1999-11-01,-0.6,CPI_YoY
1999-12-01,-0.9,CPI_YoY
2000-01-01,-1.0,CPI_YoY
2000-02-01,-0.2,CPI_YoY
2000-03-01,0.7,CPI_YoY
2000-04-01,-0.2,CPI_YoY
2000-05-01,-0.3,CPI_YoY
2000-06-01,0.1,CPI_YoY
2000-07-01,0.5,CPI_YoY
2000-08-01,0.5,CPI_YoY
2000-09-01,0.3,CPI_YoY
2000-10-01,0.0,CPI_YoY
2000-11-01,0.0,CPI_YoY
2000-12-01,1.3,CPI_YoY
2001-01-01,1.5,CPI_YoY
2001-02-01,1.2,CPI_YoY
2001-03-01,0.0,CPI_YoY
2001-04-01,0.8,CPI_YoY
2001-05-01,1.6,CPI_YoY
2001-06-01,1.7,CPI_YoY
2001-07-01,1.4,CPI_YoY
2001-08-01,1.5,CPI_YoY
2001-09-01,1.0,CPI_YoY
2001-10-01,-0.1,CPI_YoY
2001-11-01,0.2,CPI_YoY
2001-12-01,-0.3,CPI_YoY
2002-01-01,-0.3,CPI_YoY
2002-02-01,-1.0,CPI_YoY
2002-03-01,0.0,CPI_YoY
2002-04-01,-0.8,CPI_YoY
2002-05-01,-1.3,CPI_YoY
2002-06-01,-1.1,CPI_YoY
2002-07-01,-0.8,CPI_YoY
2002-08-01,-0.9,CPI_YoY
2002-09-01,-0.7,CPI_YoY
2002-10-01,-0.7,CPI_YoY
2002-11-01,-0.8,CPI_YoY
2002-12-01,-0.7,CPI_YoY
2003-01-01,-0.4,CPI_YoY
2003-02-01,0.4,CPI_YoY
2003-03-01,0.2,CPI_YoY
2003-04-01,0.9,CPI_YoY
2003-05-01,1.0,CPI_YoY
2003-06-01,0.7,CPI_YoY
2003-07-01,0.3,CPI_YoY
2003-08-01,0.5,CPI_YoY
2003-09-01,0.9,CPI_YoY
2003-10-01,1.1,CPI_YoY
2003-11-01,1.8,CPI_YoY
2003-12-01,3.0,CPI_YoY
2004-01-01,3.2,CPI_YoY
2004-02-01,3.2,CPI_YoY
2004-03-01,2.1,CPI_YoY
2004-04-01,3.0,CPI_YoY
2004-05-01,3.8,CPI_YoY
2004-06-01,4.4,CPI_YoY
2004-07-01,5.0,CPI_YoY
2004-08-01,5.3,CPI_YoY
2004-09-01,5.3,CPI_YoY
2004-10-01,5.2,CPI_YoY
2004-11-01,4.3,CPI_YoY
2004-12-01,2.9,CPI_YoY
2005-01-01,2.4,CPI_YoY
2005-02-01,1.9,CPI_YoY
2005-03-01,4.0,CPI_YoY
2005-04-01,2.7,CPI_YoY
2005-05-01,1.8,CPI_YoY
2005-06-01,1.8,CPI_YoY
2005-07-01,1.6,CPI_YoY
2005-08-01,1.8,CPI_YoY
2005-09-01,1.3,CPI_YoY
2005-10-01,0.9,CPI_YoY
2005-11-01,1.2,CPI_YoY
2005-12-01,1.3,CPI_YoY
2006-01-01,1.6,CPI_YoY
2006-02-01,1.9,CPI_YoY
2006-03-01,0.9,CPI_YoY
2006-04-01,0.8,CPI_YoY
2006-05-01,1.2,CPI_YoY
2006-06-01,1.4,CPI_YoY
2006-07-01,1.5,CPI_YoY
2006-08-01,1.0,CPI_YoY
2006-09-01,1.3,CPI_YoY
2006-10-01,1.5,CPI_YoY
2006-11-01,1.4,CPI_YoY
2006-12-01,1.9,CPI_YoY
2007-01-01,2.8,CPI_YoY
2007-02-01,2.2,CPI_YoY
2007-03-01,2.7,CPI_YoY
2007-04-01,3.3,CPI_YoY
2007-05-01,3.0,CPI_YoY
2007-06-01,3.4,CPI_YoY
2007-07-01,4.4,CPI_YoY
2007-08-01,5.6,CPI_YoY
2007-09-01,6.5,CPI_YoY
2007-10-01,6.2,CPI_YoY
2007-11-01,6.5,CPI_YoY
2007-12-01,6.9,CPI_YoY
2008-01-01,6.5,CPI_YoY
2008-02-01,7.1,CPI_YoY
2008-03-01,8.7,CPI_YoY
2008-04-01,8.3,CPI_YoY
2008-05-01,8.5,CPI_YoY
2008-06-01,7.7,CPI_YoY
2008-07-01,7.1,CPI_YoY
2008-08-01,6.3,CPI_YoY
2008-09-01,4.9,CPI_YoY
2008-10-01,4.6,CPI_YoY
2008-11-01,4.0,CPI_YoY
2008-12-01,2.4,CPI_YoY
2009-01-01,1.2,CPI_YoY
2009-02-01,1.0,CPI_YoY
2009-03-01,-1.6,CPI_YoY
2009-04-01,-1.2,CPI_YoY
2009-05-01,-1.5,CPI_YoY
2009-06-01,-1.4,CPI_YoY
2009-07-01,-1.7,CPI_YoY
2009-08-01,-1.8,CPI_YoY
2009-09-01,-1.2,CPI_YoY
2009-10-01,-0.8,CPI_YoY
2009-11-01,-0.5,CPI_YoY
2009-12-01,0.6,CPI_YoY
2010-01-01,1.9,CPI_YoY
2010-02-01,1.5,CPI_YoY
2010-03-01,2.7,CPI_YoY
2010-04-01,2.4,CPI_YoY
2010-05-01,2.8,CPI_YoY
2010-06-01,3.1,CPI_YoY
2010-07-01,2.9,CPI_YoY
2010-08-01,3.3,CPI_YoY
2010-09-01,3.5,CPI_YoY
2010-10-01,3.6,CPI_YoY
2010-11-01,4.4,CPI_YoY
2010-12-11,5.1,CPI_YoY
2011-01-20,4.6,CPI_YoY
2011-02-15,4.9,CPI_YoY
2011-03-11,4.9,CPI_YoY
2011-04-15,5.4,CPI_YoY
2011-05-11,5.3,CPI_YoY
2011-06-14,5.5,CPI_YoY
2011-07-09,6.4,CPI_YoY
2011-08-09,6.5,CPI_YoY
2011-09-09,6.2,CPI_YoY
2011-10-14,6.1,CPI_YoY
2011-11-09,5.5,CPI_YoY
2011-12-09,4.2,CPI_YoY
2012-01-12,4.1,CPI_YoY
2012-02-09,4.5,CPI_YoY
2012-03-09,3.2,CPI_YoY
2012-04-09,3.6,CPI_YoY
2012-05-11,3.4,CPI_YoY
2012-06-09,3.0,CPI_YoY
2012-07-09,2.2,CPI_YoY
2012-08-09,1.8,CPI_YoY
2012-09-09,2.0,CPI_YoY
2012-10-15,1.9,CPI_YoY
2012-11-09,1.7,CPI_YoY
2012-12-09,2.0,CPI_YoY
2013-01-11,2.5,CPI_YoY
2013-02-08,2.0,CPI_YoY
2013-03-09,3.2,CPI_YoY
2013-04-09,2.1,CPI_YoY
2013-05-09,2.4,CPI_YoY
2013-06-09,2.1,CPI_YoY
2013-07-09,2.7,CPI_YoY
2013-08-09,2.7,CPI_YoY
2013-09-09,2.6,CPI_YoY
2013-10-14,3.1,CPI_YoY
2013-11-09,3.2,CPI_YoY
2013-12-09,3.0,CPI_YoY
2014-01-09,2.5,CPI_YoY
2014-02-14,2.5,CPI_YoY
2014-03-09,2.0,CPI_YoY
2014-04-11,2.4,CPI_YoY
2014-05-09,1.8,CPI_YoY
2014-06-10,2.5,CPI_YoY
2014-07-09,2.3,CPI_YoY
2014-08-09,2.3,CPI_YoY
2014-09-11,2.0,CPI_YoY
2014-10-15,1.6,CPI_YoY
2014-11-10,1.6,CPI_YoY
2014-12-10,1.4,CPI_YoY
2015-01-09,1.5,CPI_YoY
2015-02-10,0.8,CPI_YoY
2015-03-10,1.4,CPI_YoY
2015-04-10,1.4,CPI_YoY
2015-05-09,1.5,CPI_YoY
2015-06-09,1.2,CPI_YoY
2015-07-09,1.4,CPI_YoY
2015-08-09,1.6,CPI_YoY
2015-09-10,2.0,CPI_YoY
2015-10-14,1.6,CPI_YoY
2015-11-10,1.3,CPI_YoY
2015-12-09,1.5,CPI_YoY
2016-01-09,1.6,CPI_YoY
2016-02-18,1.8,CPI_YoY
2016-03-10,2.3,CPI_YoY
2016-04-11,2.3,CPI_YoY
2016-05-10,2.3,CPI_YoY
2016-06-09,2.0,CPI_YoY
2016-07-10,1.9,CPI_YoY
2016-08-09,1.8,CPI_YoY
2016-09-09,1.3,CPI_YoY
2016-10-14,1.9,CPI_YoY
2016-11-09,2.1,CPI_YoY
2016-12-09,2.3,CPI_YoY
2017-01-10,2.1,CPI_YoY
2017-02-14,2.5,CPI_YoY
2017-03-09,0.8,CPI_YoY
2017-04-12,0.9,CPI_YoY
2017-05-10,1.2,CPI_YoY
2017-06-09,1.5,CPI_YoY
2017-07-10,1.5,CPI_YoY
2017-08-09,1.4,CPI_YoY
2017-09-09,1.8,CPI_YoY
2017-10-16,1.6,CPI_YoY
2017-11-09,1.9,CPI_YoY
2017-12-09,1.7,CPI_YoY
2018-01-10,1.8,CPI_YoY
2018-02-09,1.5,CPI_YoY
2018-03-09,2.9,CPI_YoY
2018-04-11,2.1,CPI_YoY
2018-05-10,1.8,CPI_YoY
2018-06-09,1.8,CPI_YoY
2018-07-10,1.9,CPI_YoY
2018-08-09,2.1,CPI_YoY
2018-09-10,2.3,CPI_YoY
2018-10-16,2.5,CPI_YoY
2018-11-09,2.5,CPI_YoY
2018-12-09,2.2,CPI_YoY
2019-01-10,1.9,CPI_YoY
2019-02-15,1.7,CPI_YoY
2019-03-09,1.5,CPI_YoY
2019-04-11,2.3,CPI_YoY
2019-05-09,2.5,CPI_YoY
2019-06-12,2.7,CPI_YoY
2019-07-10,2.7,CPI_YoY
2019-08-09,2.8,CPI_YoY
2019-09-10,2.8,CPI_YoY
2019-10-15,3.0,CPI_YoY
2019-11-09,3.8,CPI_YoY
2019-12-10,4.5,CPI_YoY
2020-01-09,4.5,CPI_YoY
2020-02-10,5.4,CPI_YoY
2020-03-10,5.2,CPI_YoY
2020-04-10,4.3,CPI_YoY
2020-05-12,3.3,CPI_YoY
2020-06-10,2.4,CPI_YoY
2020-07-09,2.5,CPI_YoY
2020-08-10,2.7,CPI_YoY
2020-09-09,2.4,CPI_YoY
2020-10-15,1.7,CPI_YoY
2020-11-10,0.5,CPI_YoY
2020-12-09,-0.5,CPI_YoY
2021-01-11,0.2,CPI_YoY
2021-02-10,-0.3,CPI_YoY
2021-03-10,-0.2,CPI_YoY
2021-04-09,0.4,CPI_YoY
2021-05-11,0.9,CPI_YoY
2021-06-09,1.3,CPI_YoY
2021-07-09,1.1,CPI_YoY
2021-08-09,1.0,CPI_YoY
2021-09-09,0.8,CPI_YoY
2021-10-14,0.7,CPI_YoY
2021-11-10,1.5,CPI_YoY
2021-12-09,2.3,CPI_YoY
2022-01-12,1.5,CPI_YoY
2022-02-16,0.9,CPI_YoY
2022-03-09,0.9,CPI_YoY
2022-04-11,1.5,CPI_YoY
2022-05-11,2.1,CPI_YoY
2022-06-10,2.1,CPI_YoY
2022-07-09,2.5,CPI_YoY
2022-08-10,2.7,CPI_YoY
2022-09-09,2.5,CPI_YoY
2022-10-14,2.8,CPI_YoY
2022-11-09,2.1,CPI_YoY
2022-12-09,1.6,CPI_YoY
2023-01-12,1.8,CPI_YoY
2023-02-10,2.1,CPI_YoY
2023-03-09,1.0,CPI_YoY
2023-04-11,0.7,CPI_YoY
2023-05-11,0.1,CPI_YoY
2023-06-09,0.2,CPI_YoY
2023-07-10,0.0,CPI_YoY
2023-08-09,-0.3,CPI_YoY
2023-09-09,0.1,CPI_YoY
2023-10-13,0.0,CPI_YoY
2023-11-09,-0.2,CPI_YoY
2023-12-09,-0.5,CPI_YoY
2024-01-12,-0.3,CPI_YoY
2024-02-08,-0.8,CPI_YoY
2024-03-09,0.7,CPI_YoY
2024-04-11,0.1,CPI_YoY
2024-05-11,0.3,CPI_YoY
2024-06-12,0.3,CPI_YoY
2024-07-10,0.2,CPI_YoY
2024-08-09,0.5,CPI_YoY
2024-09-09,0.6,CPI_YoY
2024-10-13,0.4,CPI_YoY
2024-11-09,0.3,CPI_YoY
2024-12-09,0.2,CPI_YoY
2025-01-09,0.1,CPI_YoY
2025-01-12,,CPI_YoY
2025-02-09,0.5,CPI_YoY
2025-03-09,-0.7,CPI_YoY
2025-04-10,-0.1,CPI_YoY
2025-05-10,-0.1,CPI_YoY
2025-06-09,-0.1,CPI_YoY
2025-07-09,0.1,CPI_YoY
2025-08-09,0.0,CPI_YoY
2025-09-10,,CPI_YoY
