date,open,close,high,low,volume,amount,code,name
2021-04-26,566.22,546.8,567.71,542.87,134280,992251232.0,002179,中航光电
2021-04-27,548.43,542.35,556.07,535.97,70571,512438784.0,002179,中航光电
2021-04-28,542.79,549.17,551.99,539.31,63905,466079936.0,002179,中航光电
2021-04-29,548.13,564.37,567.86,543.68,87039,649485680.0,002179,中航光电
2021-04-30,537.68,510.84,537.68,508.46,320085,2178545232.0,002179,中航光电
2021-05-06,495.71,505.2,509.35,492.89,196864,1313279632.0,002179,中航光电
2021-05-07,503.05,508.76,526.48,501.05,107742,740974944.0,002179,中航光电
2021-05-10,504.68,496.9,505.79,495.04,77679,516764224.0,002179,中航光电
2021-05-11,494.67,512.47,514.54,494.67,69633,470573728.0,002179,中航光电
2021-05-12,512.69,510.24,524.33,505.94,52773,361203712.0,002179,中航光电
2021-05-13,505.79,508.46,518.4,502.09,54724,374021632.0,002179,中航光电
2021-05-14,508.39,525.81,528.04,504.83,76129,528281408.0,002179,中航光电
2021-05-17,535.38,549.69,564.67,531.75,119507,884443056.0,002179,中航光电
2021-05-18,542.87,567.11,570.75,528.48,120658,888394016.0,002179,中航光电
2021-05-19,561.33,552.88,562.22,549.54,84072,622926928.0,002179,中航光电
2021-05-20,549.17,569.86,575.27,548.95,111961,846153584.0,002179,中航光电
2021-05-21,569.86,539.46,574.46,537.68,112372,819548272.0,002179,中航光电
2021-05-24,537.97,545.91,553.17,537.53,71091,518697312.0,002179,中航光电
2021-05-25,543.91,563.41,567.78,542.2,97550,725381936.0,002179,中航光电
2021-05-26,565.63,560.37,571.04,557.77,67661,510100240.0,002179,中航光电
2021-05-27,555.4,565.41,567.78,553.1,65977,495717056.0,002179,中航光电
2021-05-28,565.33,569.78,572.23,559.92,55779,422147040.0,002179,中航光电
2021-05-31,569.93,576.98,578.53,563.63,97685,747068240.0,002179,中航光电
2021-06-01,576.23,588.25,591.14,574.6,102306,801548576.0,002179,中航光电
2021-06-02,589.21,580.76,598.18,569.93,81637,636971664.0,002179,中航光电
2021-06-03,576.68,560.66,576.68,556.21,90544,681761232.0,002179,中航光电
2021-06-04,559.11,555.84,567.26,553.17,101024,754937520.0,002179,中航光电
2021-06-07,559.77,569.26,579.2,559.77,63377,481378192.0,002179,中航光电
2021-06-08,572.53,574.97,580.54,567.78,72862,557897888.0,002179,中航光电
2021-06-09,579.94,595.66,598.03,573.71,120323,946883680.0,002179,中航光电
2021-06-10,598.48,585.5,598.48,579.13,87135,680891760.0,002179,中航光电
2021-06-11,586.91,562.07,586.91,553.77,157892,1184809168.0,002179,中航光电
2021-06-15,557.4,545.24,558.36,541.16,122987,897370256.0,002179,中航光电
2021-06-16,546.58,542.87,564.22,541.09,94682,696160112.0,002179,中航光电
2021-06-17,544.05,545.17,549.47,537.75,78737,567697664.0,002179,中航光电
2021-06-18,545.91,557.1,560.66,542.35,76010,559774768.0,002179,中航光电
2021-06-21,555.47,582.31,584.69,551.77,111526,846651616.0,002179,中航光电
2021-06-22,582.31,582.91,592.33,573.42,120882,938523232.0,002179,中航光电
2021-06-23,584.09,584.61,590.32,570.08,85633,661353632.0,002179,中航光电
2021-06-24,584.76,588.1,608.49,584.61,104053,820528624.0,002179,中航光电
2021-06-25,584.61,596.25,598.26,579.27,88692,697942720.0,002179,中航光电
2021-06-28,599.29,596.63,610.34,588.99,77860,617092768.0,002179,中航光电
2021-06-29,596.7,581.94,600.18,580.68,78425,612279552.0,002179,中航光电
2021-06-30,589.8,594.18,594.4,577.05,67835,530382080.0,002179,中航光电
2021-07-01,600.33,563.63,600.33,563.63,91764,698826208.0,002179,中航光电
2021-07-02,563.63,546.35,567.26,540.64,95047,691710864.0,002179,中航光电
2021-07-05,540.64,565.85,577.12,538.72,116995,878780704.0,002179,中航光电
2021-07-06,566.67,567.26,576.68,560.22,62423,471362960.0,002179,中航光电
2021-07-07,562.0,597.66,602.56,557.7,103006,806889760.0,002179,中航光电
2021-07-08,597.66,632.74,646.75,597.66,185524,1554594864.0,002179,中航光电
2021-07-09,634.81,610.49,642.97,608.12,125876,1035796256.0,002179,中航光电
2021-07-12,617.16,621.84,630.22,594.77,139246,1136209472.0,002179,中航光电
