ticker,month,monthly_ret,cpi_yoy,m2_yoy
600048,2008-09,0.022727272727272707,4.6425,15.29
600048,2008-10,-0.04781144781144775,3.9744,15.02
600048,2008-11,0.2036775106082036,2.434,14.8
600048,2008-12,-0.15393654524089306,1.1999,17.82
600048,2009-01,0.1465277777777778,0.95,18.79
600048,2009-02,0.05572380375529962,-1.5582,20.48
600048,2009-03,0.2627653471026965,-1.1714,25.51
600048,2009-04,-0.11767378464334388,-1.5,25.95
600048,2009-05,0.10092687950566415,-1.3713,25.74
600048,2009-06,0.30449017773620213,-1.7,28.46
600048,2009-07,-0.020437432771602704,-1.8057,28.42
600048,2009-08,-0.24084919472913624,-1.2043,28.53
600048,2009-09,0.16393442622950838,-0.7883,29.31
600048,2009-10,0.06917978458989227,-0.53,29.42
600048,2009-11,-0.03525765207284004,0.56,29.74
600048,2009-12,-0.10040160642570284,1.8559,27.68
600048,2010-01,-0.14910714285714288,1.53,25.98
600048,2010-02,0.04459601259181545,2.6953,25.52
600048,2010-03,0.03917629331993977,2.3707,22.5
600048,2010-04,-0.4030932817786371,2.8136,21.48
600048,2010-05,-0.10526315789473673,3.0613,21.0
600048,2010-06,-0.07420814479638016,2.9499,18.5
600048,2010-07,0.28543499511241444,3.3042,17.6
600048,2010-08,-0.0874524714828897,3.4794,19.2
600048,2010-09,0.030000000000000027,3.6056,19.0
600048,2010-10,0.15372168284789645,4.3655,19.3
600048,2010-11,-0.15007012622720906,5.1192,19.5
600048,2010-12,0.04785478547854782,4.5859,19.7
600048,2011-01,0.019685039370078705,4.9121,17.2
600048,2011-02,-0.04478764478764474,4.9443,15.7
600048,2011-03,0.08569118835893286,5.383,16.6
600048,2011-04,-0.02159344750558445,5.3442,15.3
600048,2011-05,-0.28538812785388123,5.5146,15.1
600048,2011-06,0.1703940362087326,6.3553,15.9
600048,2011-07,-0.047315741583257465,6.4508,14.7
600048,2011-08,0.04871060171919761,6.1514,13.5
600048,2011-09,-0.1575591985428051,6.0671,13.04
600048,2011-10,0.11459459459459476,5.4954,12.9
600048,2011-11,-0.10669253152279334,4.2246,12.7
600048,2011-12,0.08577633007600416,4.0704,13.6
600048,2012-01,0.050000000000000044,4.5485,12.4
600048,2012-02,0.05714285714285716,3.1613,13.0
600048,2012-03,0.017117117117117164,3.5856,13.4
600048,2012-04,0.10806023029229417,3.3653,12.8
600048,2012-05,0.09032773780975223,3.0008,13.2
600048,2012-06,-0.16862170087976547,2.1504,13.6
600048,2012-07,0.005291005291005346,1.8,13.9
600048,2012-08,-0.17456140350877192,2.0,13.5
600048,2012-09,0.1434643995749203,1.9,14.8
600048,2012-10,0.032527881040892215,1.7,14.1
600048,2012-11,0.03240324032403241,2.0,13.9
600048,2012-12,0.1857018308631211,2.5,13.8
600048,2013-01,-0.027941176470588136,2.0,15.9
600048,2013-02,-0.030257186081694476,3.2,15.2
600048,2013-03,-0.1045241809672387,2.1,15.7
600048,2013-04,0.013066202090592283,2.4,16.1
600048,2013-05,0.07222699914015474,2.0981,15.8
600048,2013-06,-0.20529270248596632,2.7,14.0
600048,2013-07,0.02825428859737622,2.7,14.5
600048,2013-08,0.024533856722276814,2.6,14.7
600048,2013-09,-0.05363984674329492,3.1,14.2
600048,2013-10,-0.037449392712550655,3.2,14.3
600048,2013-11,-0.06414300736067291,3.0,14.2
600048,2013-12,-0.0730337078651686,2.49871692,13.6
600048,2014-01,-0.05818181818181822,2.5,13.2
600048,2014-02,-0.13127413127413123,2.0,13.3
600048,2014-03,0.1274074074074074,2.4,12.1
600048,2014-04,0.003942181340341522,1.80138144,13.2
600048,2014-05,-0.3429319371727749,2.5,13.4
600048,2014-06,-0.01195219123505964,2.3,14.7
600048,2014-07,0.21169354838709675,2.3,13.5
